sample,DICE_et,DICE_tc,DICE_wt,Hausdorff_et,Hausdorff_tc,Hausdorff_wt,Sensitivity_et,Sensitivity_tc,Sensitivity_wt,Specificity_et,Specificity_tc,Specificity_wt,True_volume_et,True_volume_tc,True_volume_wt,Predicted_volume_et,Predicted_volume_tc,Predicted_volume_wt
SBT-MET-A000726-20180528.nii.gz,0.8769313954029653,0.9460381943228439,0.8599866074146222,2.061553506709199,4.387482519740106,4.609775021541177,0.8908621316842482,0.9126622347199189,0.7545121258016151,0.9995424508428774,0.9999236427011116,0.9999975681324645,34.362549155950546,48.09781880438328,131.06368748784064,35.45430071771145,44.70406394958496,98.91464149832726
SBT-MET-A000727-20180724.nii.gz,0.9578803733926126,0.9658527229772721,0.9769125343556151,1.1180352682384378,1.0,0.7071067811865476,0.9813542688910678,0.9836286799957367,0.9633421977211402,0.999913847821537,0.9999293815450281,0.9999567215932511,13.501769314408302,14.079520140886308,51.51707369565964,14.163520261049271,14.597770882248879,50.08582164824009
SBT-MET-A000728-20180326.nii.gz,0.9192809415278819,0.9204916443720671,0.9221725157060027,10.885772631118103,10.965856099730654,2.1213230409581616,0.8790930865703603,0.8813763198146677,0.8696579243961128,0.9999469341011866,0.9999465801748203,0.9999361750154829,16.804274038672446,16.834774082303046,41.0363087028265,15.335021936893463,15.404022035598755,36.362552016973495
SBT-MET-A000729-20181109.nii.gz,0.8546118972386313,0.9717234868352037,0.851795730994339,3.082207465603994,7.365461679299198,6.726813937461401,0.9455821193180425,0.9654163296954328,0.7495376947883541,0.999481374277476,0.9999388155873702,0.9999565381434778,20.558529409170152,29.985292894244193,44.34306343317032,24.935285670161246,29.596042337417604,33.69629820287228
SBT-MET-B000730-20180517.nii.gz,0.894092097398953,0.8987071602387195,0.9467194089701422,2.692582934846204,2.5495097567963922,1.118033988749895,0.8109848453497316,0.820734806035374,0.9023641134868612,0.9999911208733225,0.9999836113991645,0.9999602544410311,30.205293208956718,30.205293208956718,106.22390195429325,24.590035176277162,24.964035711288453,96.27038771569728
SBT-MET-B000731-20180316.nii.gz,0.7455844117031757,0.9484130957148567,0.9659523928265995,4.743416490252569,1.118033988749895,1.0000014305114746,0.6058574967215489,0.9201758220408933,0.9423887148917149,0.9999812379864776,0.9999803187420966,0.999941976586083,10.294514726400376,10.294514726400376,69.36584922850132,6.436009206771851,9.681513849496842,65.98159438729286
SBT-MET-B000732-20161017.nii.gz,0.8535868254571275,0.9673049594142155,0.8773692769520199,2.061553506709199,1.4142145738978211,3.1622781125361183,0.9373832284278675,0.9675799658837919,0.7816169383883369,0.9996633987311057,0.9999191994347029,0.9999986896801087,13.782269715666772,25.940787108540533,123.21142625510693,16.48827358663082,25.95553712964058,96.31788778364658
SBT-MET-B000733-20181114.nii.gz,0.9047371160853697,0.6684814105828828,0.8282136987606481,7.762089006783223,5.477225836226309,3.2015661400672264,0.830032173738182,0.5041856522199838,0.7968162791408219,0.9999977383792981,0.9999962054774052,0.9998033813131355,4.973007113933563,9.437013499736786,16.364523409605027,4.151755939126015,4.798256863951683,15.123771634697913
SBT-MET-B000734-20180423.nii.gz,0.9767508569625514,0.9776526448903625,0.9774863109014555,0.7071067811865476,0.5,1.0,0.977147940540643,0.9777412950519233,0.9842502366295058,0.9999415996861019,0.9999445028817899,0.9997153534200038,26.135537387132644,26.192037467956542,101.1603947108984,26.156787417531014,26.196787474751474,102.56039671361447
SBT-MET-D000739-20180319.nii.gz,0.974729221585831,0.9771442285688767,0.8626675744840702,1.0000014305114746,1.0000014305114746,7.17635184123695,0.9698503422665647,0.974571364952126,0.7585536102528893,0.9999148468662417,0.9999143485924319,0.9999985824002103,44.70206394672394,44.91006424427032,211.92105315506458,44.254563306570056,44.67356390595436,160.76822998046876
